Query ID,Original Query,Query Type,Intent Category,Expected Constraints,URL,Search parameters,Filters extracted,Retrieval method used,Candidate generation count,Final ranked results
Q039,hotels near kingdom of dreams gurugram,Natural Language,Attraction Proximity,area=gurugram,http://localhost:8000/recommend?query=hotels+near+kingdom+of+dreams+gurugram,"{""query"": ""hotels near kingdom of dreams gurugram"", ""max_results"": 10}","{""hard"": {""area"": ""Gurugram""}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Holiday Inn Gurugram Sector 90 By Ihg (Score: 0.68) | #2 Hotel Mavens House (Score: 0.62) | #3 Lime Tree Hotel Pulkit Gurgaon Artemis Hospital, Nearest Millennium City Centre Metro Station (Score: 0.61) | #4 Doubletree By Hilton Hotel Gurgaon - New Delhi Ncr (Score: 0.60) | #5 Collection O Hotel Cambridge (Score: 0.56) | #6 Grand Hyatt Gurgaon (Score: 0.56)"
Q040,resorts near sultanpur bird sanctuary,Natural Language,Attraction Proximity,sanctuary=true,http://localhost:8000/recommend?query=resorts+near+sultanpur+bird+sanctuary,"{""query"": ""resorts near sultanpur bird sanctuary"", ""max_results"": 10}","{""hard"": {""area"": ""Sultanpur""}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,#1 Sultanpur Resorts And Fun Village (Score: 0.73) | #2 Jmd Hotel (Score: 0.62) | #3 The Estate Villa (Score: 0.59) | #4 Avalon Courtyard Residences And Suites (Score: 0.56)
Q041,hotels with excellent cleanliness ratings,Natural Language,High Cleanliness,cleanliness>=4.8,http://localhost:8000/recommend?query=hotels+with+excellent+cleanliness+ratings,"{""query"": ""hotels with excellent cleanliness ratings"", ""max_results"": 10}","{""hard"": {}, ""soft"": {""aspects"": ""cleanliness""}}",Multi-Channel Hybrid Retrieval,50,"#1 Hotel D K Residency (Score: 0.56) | #2 Flora Residency (Score: 0.49) | #3 Radisson Blu Plaza Hotel, Delhi Airport (Score: 0.48) | #4 Pride Plaza Aerocity (Score: 0.41) | #5 Pullman New Delhi Aerocity (Score: 0.41) | #6 Limewood Signature - Near Golf Course Road (Score: 0.39)"
Q042,hygienic and sanitised rooms in delhi NCR,Natural Language,High Cleanliness,cleanliness>=4.5,http://localhost:8000/recommend?query=hygienic+and+sanitised+rooms+in+delhi+NCR,"{""query"": ""hygienic and sanitised rooms in delhi NCR"", ""max_results"": 10}","{""hard"": {""area"": ""Delhi Ncr,Delhi NCR,Ncr""}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Ibis New Delhi Aerocity (Score: 0.49) | #2 Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms (Score: 0.49) | #3 Anantam Farm Delhi (Score: 0.48) | #4 Fortune Park, East Delhi - Member Itc Hotels' Group (Score: 0.44) | #5 Hotel Aerostar Grand (Score: 0.39)"
Q043,spotless premium hotels in gurugram,Natural Language,High Cleanliness,"cleanliness>=4.8, area=gurugram",http://localhost:8000/recommend?query=spotless+premium+hotels+in+gurugram,"{""query"": ""spotless premium hotels in gurugram"", ""max_results"": 10}","{""hard"": {""area"": ""Gurugram""}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Holiday Inn Gurugram Sector 90 By Ihg (Score: 0.68) | #2 Hotel Mavens House (Score: 0.63) | #3 Doubletree By Hilton Hotel Gurgaon - New Delhi Ncr (Score: 0.62) | #4 Lime Tree Hotel Pulkit Gurgaon Artemis Hospital, Nearest Millennium City Centre Metro Station (Score: 0.62) | #5 Grand Hyatt Gurgaon (Score: 0.59) | #6 Collection O Hotel Cambridge (Score: 0.54)"
Q044,highly clean budget hotel,Natural Language,High Cleanliness,"cleanliness>=4.5, budget=budget",http://localhost:8000/recommend?query=highly+clean+budget+hotel,"{""query"": ""highly clean budget hotel"", ""max_results"": 10}","{""hard"": {}, ""soft"": {""budget_category"": ""budget""}}",Multi-Channel Hybrid Retrieval,50,"#1 Holiday Inn New Delhi Int'L Airport, An Ihg Hotel (Score: 0.57) | #2 Hotel D K Residency (Score: 0.56) | #3 Flora Residency (Score: 0.52) | #4 Limewood Signature - Near Golf Course Road (Score: 0.44) | #5 Pride Plaza Aerocity (Score: 0.40) | #6 Radisson Blu Plaza Hotel, Delhi Airport (Score: 0.00) | #7 Pullman New Delhi Aerocity (Score: 0.00) | #8 Taj Palace, New Delhi (Score: 0.00)"
Q045,top rated hotels with 5 star guest ratings,Natural Language,High Ratings,rating>=4.5,http://localhost:8000/recommend?query=top+rated+hotels+with+5+star+guest+ratings,"{""query"": ""top rated hotels with 5 star guest ratings"", ""max_results"": 10}","{""hard"": {}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Flora Residency (Score: 0.48) | #2 Hotel D K Residency (Score: 0.48) | #3 Radisson Blu Plaza Hotel, Delhi Airport (Score: 0.48) | #4 Holiday Inn New Delhi Int'L Airport, An Ihg Hotel (Score: 0.46) | #5 Pullman New Delhi Aerocity (Score: 0.41) | #6 Limewood Signature - Near Golf Course Road (Score: 0.39) | #7 Pride Plaza Aerocity (Score: 0.38) | #8 Taj Palace, New Delhi (Score: 0.34)"
Q046,best reviewed hotels in gurugram,Natural Language,High Ratings,"rating>=4.5, area=gurugram",http://localhost:8000/recommend?query=best+reviewed+hotels+in+gurugram,"{""query"": ""best reviewed hotels in gurugram"", ""max_results"": 10}","{""hard"": {""area"": ""Gurugram""}, ""soft"": {""aspects"": ""view""}}",Multi-Channel Hybrid Retrieval,50,#1 Doubletree By Hilton Hotel Gurgaon - New Delhi Ncr (Score: 0.61) | #2 Hotel Mavens House (Score: 0.60) | #3 Grand Hyatt Gurgaon (Score: 0.58)
Q047,hotels with high trust score above 90,Natural Language,High Ratings,trust>=90,http://localhost:8000/recommend?query=hotels+with+high+trust+score+above+90,"{""query"": ""hotels with high trust score above 90"", ""max_results"": 10}","{""hard"": {}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Hotel D K Residency (Score: 0.52) | #2 Flora Residency (Score: 0.52) | #3 Holiday Inn New Delhi Int'L Airport, An Ihg Hotel (Score: 0.48) | #4 Limewood Signature - Near Golf Course Road (Score: 0.46) | #5 Radisson Blu Plaza Hotel, Delhi Airport (Score: 0.46) | #6 Taj Palace, New Delhi (Score: 0.40) | #7 Pride Plaza Aerocity (Score: 0.40) | #8 Pullman New Delhi Aerocity (Score: 0.37)"
Q048,guest favorite stays in delhi NCR,Natural Language,High Ratings,rating>=4.5,http://localhost:8000/recommend?query=guest+favorite+stays+in+delhi+NCR,"{""query"": ""guest favorite stays in delhi NCR"", ""max_results"": 10}","{""hard"": {""area"": ""Delhi Ncr,Delhi NCR,Ncr""}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms (Score: 0.58) | #2 Fortune Park, East Delhi - Member Itc Hotels' Group (Score: 0.56) | #3 Hotel Aerostar Grand (Score: 0.45) | #4 Ibis New Delhi Aerocity (Score: 0.37)"
Q049,best value for money hotels in delhi,Natural Language,Good Value,"value>=4.5, area=delhi",http://localhost:8000/recommend?query=best+value+for+money+hotels+in+delhi,"{""query"": ""best value for money hotels in delhi"", ""max_results"": 10}","{""hard"": {""area"": ""Delhi NCR""}, ""soft"": {""aspects"": ""value""}}",Multi-Channel Hybrid Retrieval,50,"#1 Hotel Aerostar Grand (Score: 0.49) | #2 Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms (Score: 0.46) | #3 Fortune Park, East Delhi - Member Itc Hotels' Group (Score: 0.45) | #4 Ibis New Delhi Aerocity (Score: 0.41)"
Q050,high quality low price hotel gurugram,Natural Language,Good Value,"value>=4.5, budget=budget, area=gurugram",http://localhost:8000/recommend?query=high+quality+low+price+hotel+gurugram,"{""query"": ""high quality low price hotel gurugram"", ""max_results"": 10}","{""hard"": {""area"": ""Gurugram""}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Holiday Inn Gurugram Sector 90 By Ihg (Score: 0.72) | #2 Hotel Mavens House (Score: 0.64) | #3 Doubletree By Hilton Hotel Gurgaon - New Delhi Ncr (Score: 0.63) | #4 Grand Hyatt Gurgaon (Score: 0.62) | #5 Lime Tree Hotel Pulkit Gurgaon Artemis Hospital, Nearest Millennium City Centre Metro Station (Score: 0.61) | #6 Collection O Hotel Cambridge (Score: 0.56)"
Q051,worth the price stay near manesar,Natural Language,Good Value,"value>=4.5, area=manesar",http://localhost:8000/recommend?query=worth+the+price+stay+near+manesar,"{""query"": ""worth the price stay near manesar"", ""max_results"": 10}","{""hard"": {""area"": ""Manesar""}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Hotel Gurugram Manesar (Score: 0.80) | #2 Savoy Suites, Manesar (Score: 0.74) | #3 Heritage Village Resort & Spa, Manesar (Score: 0.70) | #4 Hotel Sk Residency (Score: 0.55) | #5 The Tomo Inn (Score: 0.54) | #6 Hotel O V2 Stay (Score: 0.54) | #7 Four Square (Score: 0.50)"
Q052,highly rated value properties delhi NCR,Natural Language,Good Value,value>=4.5,http://localhost:8000/recommend?query=highly+rated+value+properties+delhi+NCR,"{""query"": ""highly rated value properties delhi NCR"", ""max_results"": 10}","{""hard"": {""area"": ""Delhi Ncr,Delhi NCR,Ncr""}, ""soft"": {""aspects"": ""value""}}",Multi-Channel Hybrid Retrieval,50,"#1 Ibis New Delhi Aerocity (Score: 0.49) | #2 Hotel Aerostar Grand (Score: 0.48) | #3 Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms (Score: 0.44) | #4 Fortune Park, East Delhi - Member Itc Hotels' Group (Score: 0.43)"
Q053,hotels offering free breakfast in delhi,Natural Language,Free Breakfast,"breakfast=true, area=delhi",http://localhost:8000/recommend?query=hotels+offering+free+breakfast+in+delhi,"{""query"": ""hotels offering free breakfast in delhi"", ""max_results"": 10}","{""hard"": {""area"": ""Delhi NCR""}, ""soft"": {""amenities"": ""Breakfast""}}",Multi-Channel Hybrid Retrieval,50,#1 The Castle Bed And Breakfast (Score: 0.54) | #2 Travellers Hotel (Score: 0.54) | #3 Urban Retreat (Score: 0.53) | #4 Hotel View - A Boutique Hotel (Score: 0.53) | #5 Park Inn By Radisson New Delhi Ip Extension (Score: 0.52) | #6 Hotel Hr Residency (Score: 0.51) | #7 Hotel O 24 Seven Stay (Score: 0.51) | #8 Hotel Hr Residency (Score: 0.50) | #9 The Own Stay (Score: 0.50) | #10 Roomshala 139 Hotel Rose Inn (Score: 0.50)
Q054,luxury stay with complimentary buffet breakfast,Natural Language,Free Breakfast,"breakfast=true, budget=luxury",http://localhost:8000/recommend?query=luxury+stay+with+complimentary+buffet+breakfast,"{""query"": ""luxury stay with complimentary buffet breakfast"", ""max_results"": 10}","{""hard"": {}, ""soft"": {""budget_category"": ""luxury"", ""amenities"": ""Breakfast""}}",Multi-Channel Hybrid Retrieval,50,"#1 Sunbird Resorts (Score: 0.70) | #2 Hotel Jairose Palace | Best Business Hotel In Faridabad | Near Asian & Metro Hospital (Score: 0.69) | #3 Radisson Blu Hotel, Faridabad (Score: 0.69) | #4 Fortune Park, East Delhi - Member Itc Hotels' Group (Score: 0.67) | #5 Hotel Viva Palace (Score: 0.67) | #6 The Lodgers Luxury Hotel Near Golf Course Road Gurgaon (Score: 0.66) | #7 The Leela Ambience Convention Hotel Delhi (Score: 0.64) | #8 Radisson Blu Plaza Hotel, Delhi Airport (Score: 0.64) | #9 Radisson Blu Towers Kaushambi Delhi Ncr (Score: 0.62) | #10 Hilton Gurugram Baani City Centre (Score: 0.62)"
Q055,cheap room with free morning breakfast gurugram,Natural Language,Free Breakfast,"breakfast=true, budget=budget, area=gurugram",http://localhost:8000/recommend?query=cheap+room+with+free+morning+breakfast+gurugram,"{""query"": ""cheap room with free morning breakfast gurugram"", ""max_results"": 10}","{""hard"": {""area"": ""Gurugram""}, ""soft"": {""budget_category"": ""budget"", ""amenities"": ""Breakfast""}}",Multi-Channel Hybrid Retrieval,50,"#1 Holiday Inn Gurugram Sector 90 By Ihg (Score: 0.78) | #2 Crs Inn - Hotels In Gurgaon (Score: 0.77) | #3 Royal Residence 266 (Score: 0.72) | #4 Hotel Mavens House (Score: 0.71) | #5 Hotel O J M K Hotel (Score: 0.71) | #6 Fabhotel Altus - Hotel In Dlf Phase 2, Gurgaon (Score: 0.68) | #7 Hotel Windsor Castle (Score: 0.68) | #8 Royal Residence A69 (Score: 0.66) | #9 Starex Inn Hotel & Service Appartment (Score: 0.65) | #10 Rsk Crown Plaza (Score: 0.65)"
Q056,stay near cyber city including breakfast,Natural Language,Free Breakfast,"breakfast=true, area=gurugram",http://localhost:8000/recommend?query=stay+near+cyber+city+including+breakfast,"{""query"": ""stay near cyber city including breakfast"", ""max_results"": 10}","{""hard"": {}, ""soft"": {""amenities"": ""Breakfast""}}",Multi-Channel Hybrid Retrieval,50,"#1 Five Elements Hotels - Delhi (Hotel North Avenue) (Score: 0.60) | #2 Nearmi Boutique Hotel & Cafe Sector 47 (Score: 0.59) | #3 Hideaway Bed And Breakfast (Score: 0.58) | #4 Ava Hotels And Corporates Millennium City (Score: 0.57) | #5 Fabhotel La Paz Stay - Hotel In Malviya Nagar, New Delhi (Score: 0.57) | #6 Urban Oasis (Score: 0.57) | #7 Park Inn By Radisson New Delhi Ip Extension (Score: 0.57) | #8 Radisson Blu Plaza Hotel, Delhi Airport (Score: 0.56) | #9 Hilton Gurugram Baani City Centre (Score: 0.55) | #10 Urban Retreat (Score: 0.54)"
Q057,stays with free high speed wifi in gurugram,Natural Language,Free WiFi,"wifi=true, area=gurugram",http://localhost:8000/recommend?query=stays+with+free+high+speed+wifi+in+gurugram,"{""query"": ""stays with free high speed wifi in gurugram"", ""max_results"": 10}","{""hard"": {""area"": ""Gurugram""}, ""soft"": {""aspects"": ""wifi"", ""amenities"": ""Free Wi-Fi""}}",Multi-Channel Hybrid Retrieval,50,"#1 Holiday Inn Gurugram Sector 90 By Ihg (Score: 0.68) | #2 Crs Inn - Hotels In Gurgaon (Score: 0.63) | #3 Grand Hyatt Gurgaon (Score: 0.61) | #4 Evergreen Resort Aravali (Score: 0.61) | #5 Hotel Mavens House (Score: 0.61) | #6 Hays Air By Ahuja Residences (Score: 0.60) | #7 Lime Tree Hotel Pulkit Gurgaon Artemis Hospital, Nearest Millennium City Centre Metro Station (Score: 0.59) | #8 Royal Residence 266 (Score: 0.58) | #9 Grand Mantram Resort (Score: 0.58) | #10 Doubletree By Hilton Hotel Gurgaon - New Delhi Ncr (Score: 0.57)"
Q058,business travel hotel with free internet delhi,Natural Language,Free WiFi,"wifi=true, area=delhi",http://localhost:8000/recommend?query=business+travel+hotel+with+free+internet+delhi,"{""query"": ""business travel hotel with free internet delhi"", ""max_results"": 10}","{""hard"": {""area"": ""Delhi NCR""}, ""soft"": {""travel_purpose"": ""business""}}",Multi-Channel Hybrid Retrieval,50,#1 Hotel View - A Boutique Hotel (Score: 0.58) | #2 Travellers Hotel (Score: 0.56) | #3 Hotel O 24 Seven Stay (Score: 0.54) | #4 Park Inn By Radisson New Delhi Ip Extension (Score: 0.52) | #5 Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms (Score: 0.52) | #6 Hotel Metro View (Score: 0.52) | #7 Hotel Hr Residency (Score: 0.52) | #8 Hotel Down Town (Score: 0.52) | #9 The Own Stay (Score: 0.51) | #10 Urban Retreat (Score: 0.51)
Q059,budget stay with free wifi for work from home,Natural Language,Free WiFi,"wifi=true, budget=budget",http://localhost:8000/recommend?query=budget+stay+with+free+wifi+for+work+from+home,"{""query"": ""budget stay with free wifi for work from home"", ""max_results"": 10}","{""hard"": {}, ""soft"": {""budget_category"": ""budget"", ""aspects"": ""wifi"", ""amenities"": ""Free Wi-Fi""}}",Multi-Channel Hybrid Retrieval,50,#1 Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms (Score: 0.71) | #2 Garvik Stay (Score: 0.70) | #3 Gilmore Stays | Homestay | (Score: 0.69) | #4 Hotel Rajhans - Budget Hotel In Gurugram (Score: 0.68) | #5 Hotel Walk Inn (Score: 0.67) | #6 Sky Inn By Twamev (Score: 0.67) | #7 Green Lotus La Wisteria Inn (Score: 0.66) | #8 Hotel O Smart Stay Hotel (Score: 0.65) | #9 Oyo Home Rd Guest House Near Najafgarh Metro Station (Score: 0.65) | #10 Ace Stayz Sector55 Gurugram (Score: 0.65)
Q060,hotel with robust wifi in manesar NCR,Natural Language,Free WiFi,"wifi=true, area=manesar",http://localhost:8000/recommend?query=hotel+with+robust+wifi+in+manesar+NCR,"{""query"": ""hotel with robust wifi in manesar NCR"", ""max_results"": 10}","{""hard"": {""area"": ""Manesar,Ncr""}, ""soft"": {""aspects"": ""wifi"", ""amenities"": ""Free Wi-Fi""}}",Multi-Channel Hybrid Retrieval,50,"#1 Jps Palm Inn (Score: 0.55) | #2 Four Square (Score: 0.54) | #3 Hotel Sai Village 281 (Score: 0.54) | #4 Hotel Sk Residency (Score: 0.52) | #5 Fabexpress Next Home (Score: 0.52) | #6 Raj Residency Guest House (Score: 0.51) | #7 Hotel Heaven (Score: 0.50) | #8 Istay Serenity Villa Manesar (Score: 0.50) | #9 Hotel Gurugram Manesar (Score: 0.49) | #10 Treebo Sai Village, Manesar (Score: 0.49)"
Q061,hotels with indoor swimming pool in gurugram,Natural Language,Swimming Pool,"pool=true, area=gurugram",http://localhost:8000/recommend?query=hotels+with+indoor+swimming+pool+in+gurugram,"{""query"": ""hotels with indoor swimming pool in gurugram"", ""max_results"": 10}","{""hard"": {""area"": ""Gurugram""}, ""soft"": {""aspects"": ""pool"", ""amenities"": ""Pool""}}",Multi-Channel Hybrid Retrieval,50,"#1 Royal Residence A69 (Score: 0.76) | #2 Evergreen Resort Aravali (Score: 0.73) | #3 Crs Inn - Hotels In Gurgaon (Score: 0.70) | #4 Holiday Inn Gurugram Sector 90 By Ihg (Score: 0.68) | #5 Hotel O J M K Hotel (Score: 0.64) | #6 Hotel Mavens House (Score: 0.63) | #7 Doubletree By Hilton Hotel Gurgaon - New Delhi Ncr (Score: 0.61) | #8 Grand Mantram Resort (Score: 0.61) | #9 Lime Tree Hotel Pulkit Gurgaon Artemis Hospital, Nearest Millennium City Centre Metro Station (Score: 0.60) | #10 Hotel Windsor Castle (Score: 0.60)"
Q062,luxury hotel with outdoor pool delhi,Natural Language,Swimming Pool,"pool=true, budget=luxury, area=delhi",http://localhost:8000/recommend?query=luxury+hotel+with+outdoor+pool+delhi,"{""query"": ""luxury hotel with outdoor pool delhi"", ""max_results"": 10}","{""hard"": {""area"": ""Delhi NCR""}, ""soft"": {""budget_category"": ""luxury"", ""aspects"": ""pool"", ""amenities"": ""Pool""}}",Multi-Channel Hybrid Retrieval,50,"#1 Fortune Park, East Delhi - Member Itc Hotels' Group (Score: 0.69) | #2 Urban Retreat (Score: 0.67) | #3 Park Inn By Radisson New Delhi Ip Extension (Score: 0.67) | #4 Hotel Sunshine By The Premium Villa (Score: 0.64) | #5 Hotel Sunlight (Score: 0.64) | #6 Club Platinum Resort (Score: 0.64) | #7 Hotel Hr Residency (Score: 0.63) | #8 Hotel Sarthak Palace, Karol Bagh, Delhi (Score: 0.63) | #9 Hotel View - A Boutique Hotel (Score: 0.63) | #10 Hotel Hr Residency (Score: 0.62)"
Q063,resorts with kids swimming pool manesar,Natural Language,Swimming Pool,"pool=true, area=manesar",http://localhost:8000/recommend?query=resorts+with+kids+swimming+pool+manesar,"{""query"": ""resorts with kids swimming pool manesar"", ""max_results"": 10}","{""hard"": {""area"": ""Manesar""}, ""soft"": {""aspects"": ""pool"", ""amenities"": ""Pool""}}",Multi-Channel Hybrid Retrieval,50,"#1 Fabexpress Next Home (Score: 0.77) | #2 Hotel Gurugram Manesar (Score: 0.72) | #3 Komal Residency (Score: 0.70) | #4 Heritage Village Resort & Spa, Manesar (Score: 0.70) | #5 Savoy Suites, Manesar (Score: 0.69) | #6 Istay Serenity Villa Manesar (Score: 0.69) | #7 The Tomo Inn (Score: 0.69) | #8 Misaki Manrsar (Score: 0.68) | #9 Hotel Sai Village 281 (Score: 0.65) | #10 Jps Palm Inn (Score: 0.64)"
Q064,rooftop swimming pool hotels NCR,Natural Language,Swimming Pool,pool=true,http://localhost:8000/recommend?query=rooftop+swimming+pool+hotels+NCR,"{""query"": ""rooftop swimming pool hotels NCR"", ""max_results"": 10}","{""hard"": {""area"": ""Ncr""}, ""soft"": {""aspects"": ""pool"", ""amenities"": ""Pool""}}",Multi-Channel Hybrid Retrieval,50,
Q065,hotels with fully equipped gym or fitness center,Natural Language,Fitness Gym,gym=true,http://localhost:8000/recommend?query=hotels+with+fully+equipped+gym+or+fitness+center,"{""query"": ""hotels with fully equipped gym or fitness center"", ""max_results"": 10}","{""hard"": {}, ""soft"": {""amenities"": ""Gym""}}",Multi-Channel Hybrid Retrieval,50,"#1 Hotel Ashiyana Elite, Near Golf Course Road (Score: 0.56) | #2 Hotel Golf View Suites (Score: 0.55) | #3 Hotel Resto Relax (Score: 0.55) | #4 Hotel C Park Inn (Score: 0.54) | #5 Golf Luxury (Score: 0.54) | #6 Zen Suites - Gurgaon (Score: 0.54) | #7 Hotel Omega (Score: 0.54) | #8 Hotel 91 Golf Course Road (Score: 0.54) | #9 Hotel A.P Residency (Score: 0.54) | #10 Hotel Elite Oak (Score: 0.53)"
Q066,luxury stay with 24 hour gym gurugram,Natural Language,Fitness Gym,"gym=true, budget=luxury, area=gurugram",http://localhost:8000/recommend?query=luxury+stay+with+24+hour+gym+gurugram,"{""query"": ""luxury stay with 24 hour gym gurugram"", ""max_results"": 10}","{""hard"": {""area"": ""Gurugram""}, ""soft"": {""budget_category"": ""luxury"", ""amenities"": ""Gym""}}",Multi-Channel Hybrid Retrieval,50,"#1 Holiday Inn Gurugram Sector 90 By Ihg (Score: 0.80) | #2 Grand Mantram Resort (Score: 0.76) | #3 Grand Hyatt Gurgaon (Score: 0.76) | #4 Evergreen Resort Aravali (Score: 0.74) | #5 Doubletree By Hilton Hotel Gurgaon - New Delhi Ncr (Score: 0.74) | #6 Lime Tree Hotel Pulkit Gurgaon Artemis Hospital, Nearest Millennium City Centre Metro Station (Score: 0.70) | #7 Hotel O J M K Hotel (Score: 0.68) | #8 Hotel Mavens White - Near Artemis Hospital (Score: 0.68) | #9 Rangmanch Resort (Score: 0.67) | #10 Fabhotel Rr Residency - Hotel In Dlf Phase 2, Gurgaon (Score: 0.67)"
Q067,business hotel with gym in aerocity delhi,Natural Language,Fitness Gym,"gym=true, area=aerocity",http://localhost:8000/recommend?query=business+hotel+with+gym+in+aerocity+delhi,"{""query"": ""business hotel with gym in aerocity delhi"", ""max_results"": 10}","{""hard"": {""area"": ""Aerocity,Delhi NCR""}, ""soft"": {""travel_purpose"": ""business"", ""amenities"": ""Gym""}}",Multi-Channel Hybrid Retrieval,50,"#1 Hotel Aerostar Grand (Score: 0.60) | #2 Ibis New Delhi Aerocity (Score: 0.59) | #3 Fortune Park, East Delhi - Member Itc Hotels' Group (Score: 0.51) | #4 Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms (Score: 0.45) | #5 Holiday Inn New Delhi Mayur Vihar Noida, An Ihg Hotel (Score: 0.37)"
Q068,fitness friendly hotels near cyber hub,Natural Language,Fitness Gym,"gym=true, area=gurugram",http://localhost:8000/recommend?query=fitness+friendly+hotels+near+cyber+hub,"{""query"": ""fitness friendly hotels near cyber hub"", ""max_results"": 10}","{""hard"": {}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Radisson Blu Plaza Hotel, Delhi Airport (Score: 0.54) | #2 Holiday Inn New Delhi Int'L Airport, An Ihg Hotel (Score: 0.53) | #3 Limewood Signature - Near Golf Course Road (Score: 0.48) | #4 Hotel D K Residency (Score: 0.47) | #5 Pullman New Delhi Aerocity (Score: 0.45) | #6 Flora Residency (Score: 0.45) | #7 Pride Plaza Aerocity (Score: 0.43) | #8 Taj Palace, New Delhi (Score: 0.40)"
Q069,hotels with spa massage and wellness center,Natural Language,Spa Wellness,spa=true,http://localhost:8000/recommend?query=hotels+with+spa+massage+and+wellness+center,"{""query"": ""hotels with spa massage and wellness center"", ""max_results"": 10}","{""hard"": {}, ""soft"": {""amenities"": ""Spa""}}",Multi-Channel Hybrid Retrieval,50,#1 Zen Suites - Gurgaon (Score: 0.61) | #2 Golf Luxury (Score: 0.59) | #3 Corporate Stays -Suncity (Score: 0.59) | #4 Urban Oasis (Score: 0.58) | #5 Hotel Hsp Suites (Score: 0.58) | #6 Hotel Mavens House (Score: 0.57) | #7 Comfort Inn Dhaliwals Gurgaon (Score: 0.57) | #8 Hotel Sunshine By The Premium Villa (Score: 0.57) | #9 The Angel Hotel & Suites Near Medanta (Score: 0.57) | #10 The Lodgers Hotel - Hotel Near Medanta Medicity Sector 38 (Score: 0.56)
Q070,luxury spa resorts near manesar,Natural Language,Spa Wellness,"spa=true, budget=luxury, area=manesar",http://localhost:8000/recommend?query=luxury+spa+resorts+near+manesar,"{""query"": ""luxury spa resorts near manesar"", ""max_results"": 10}","{""hard"": {""area"": ""Manesar""}, ""soft"": {""budget_category"": ""luxury"", ""amenities"": ""Spa""}}",Multi-Channel Hybrid Retrieval,50,"#1 Heritage Village Resort & Spa, Manesar (Score: 0.85) | #2 Hotel Gurugram Manesar (Score: 0.84) | #3 Komal Residency (Score: 0.80) | #4 Savoy Suites, Manesar (Score: 0.79) | #5 Dayal Regency Manesar (Score: 0.76) | #6 Ginger Manesar (Score: 0.74) | #7 Hotel Manesar (Score: 0.72) | #8 Hotel Sai Village 281 (Score: 0.72) | #9 Hotel Sk Residency (Score: 0.68) | #10 Fabexpress Next Home (Score: 0.67)"
Q071,5 star hotel with wellness spa and pool delhi,Natural Language,Spa Wellness,"spa=true, pool=true, budget=luxury, area=delhi",http://localhost:8000/recommend?query=5+star+hotel+with+wellness+spa+and+pool+delhi,"{""query"": ""5 star hotel with wellness spa and pool delhi"", ""max_results"": 10}","{""hard"": {""area"": ""Delhi NCR""}, ""soft"": {""aspects"": ""pool"", ""amenities"": ""Pool,Spa""}}",Multi-Channel Hybrid Retrieval,50,#1 Urban Retreat (Score: 0.60) | #2 Rich Star Guest House (Score: 0.53) | #3 Hotel Hr Residency (Score: 0.52) | #4 Divine Inn Hotel Rajouri Garden (Score: 0.52) | #5 Hotel Resto Relax (Score: 0.52) | #6 Hotel 7 Star (Score: 0.52) | #7 Hotel O 24 Seven Stay (Score: 0.51) | #8 Hotel Hr Residency (Score: 0.51) | #9 Hotel Sunshine By The Premium Villa (Score: 0.50) | #10 Hotel Aerostar Grand (Score: 0.50)
Q072,relaxing stay with sauna and steam room gurugram,Natural Language,Spa Wellness,"spa=true, area=gurugram",http://localhost:8000/recommend?query=relaxing+stay+with+sauna+and+steam+room+gurugram,"{""query"": ""relaxing stay with sauna and steam room gurugram"", ""max_results"": 10}","{""hard"": {""area"": ""Gurugram""}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Holiday Inn Gurugram Sector 90 By Ihg (Score: 0.67) | #2 Hotel Mavens House (Score: 0.62) | #3 Lime Tree Hotel Pulkit Gurgaon Artemis Hospital, Nearest Millennium City Centre Metro Station (Score: 0.59) | #4 Collection O Hotel Cambridge (Score: 0.59) | #5 Grand Hyatt Gurgaon (Score: 0.59) | #6 Doubletree By Hilton Hotel Gurgaon - New Delhi Ncr (Score: 0.58)"
